benchmark,board,environment,category,type,size,total_size,section_total_size
slre,nrf52840dk,wamr-fast,Kernel,.bss,3289,2621421,2848
slre,nrf52840dk,wamr-fast,Unknown Symbols (app),.data,16,2621421,
slre,nrf52840dk,wamr-fast,Kernel,.data,138,2621421,
slre,nrf52840dk,wamr-fast,Runtime,.data,1944,2621421,
slre,nrf52840dk,wamr-fast,fill,.data,6,2621421,
slre,nrf52840dk,wamr-fast,fill,.bss,20,2621421,2848
slre,nrf52840dk,wamr-fast,Runtime,.bss,51,2621421,2848
statemate,nrf52840dk,native,Kernel,.text,12970,1470036,13960
statemate,nrf52840dk,native,Application,.text,1840,1470036,13960
statemate,nrf52840dk,native,fill,.text,23,1470036,13960
statemate,nrf52840dk,native,Kernel,.bss,1716,1470036,1416
statemate,nrf52840dk,native,Kernel,.data,138,1470036,
statemate,nrf52840dk,native,fill,.data,2,1470036,
statemate,nrf52840dk,native,Application,.bss,201,1470036,1416
statemate,nrf52840dk,native,fill,.bss,11,1470036,1416
statemate,nrf52840dk,jerryscript,Kernel,.text,20557,3002680,148460
statemate,nrf52840dk,jerryscript,Runtime,.text,90675,3002680,148460
statemate,nrf52840dk,jerryscript,fill,.text,147,3002680,148460
statemate,nrf52840dk,jerryscript,Application,.text,43392,3002680,148460
statemate,nrf52840dk,jerryscript,Kernel,.bss,2745,3002680,21780
statemate,nrf52840dk,jerryscript,Kernel,.data,138,3002680,
statemate,nrf52840dk,jerryscript,fill,.data,2,3002680,
statemate,nrf52840dk,jerryscript,fill,.bss,3,3002680,21780
statemate,nrf52840dk,jerryscript,Heap,.bss,17408,3002680,21780
statemate,nrf52840dk,jerryscript,Runtime,.bss,2136,3002680,21780
statemate,nrf52840dk,lua,Kernel,.text,74262,3146136,194464
statemate,nrf52840dk,lua,Runtime,.text,90569,3146136,194464
statemate,nrf52840dk,lua,fill,.text,183,3146136,194464
statemate,nrf52840dk,lua,Application,.text,42490,3146136,194464
statemate,nrf52840dk,lua,Kernel,.bss,4405,3146136,66764
statemate,nrf52840dk,lua,Kernel,.data,602,3146136,
statemate,nrf52840dk,lua,fill,.data,6,3146136,
statemate,nrf52840dk,lua,Heap,.bss,62868,3146136,66764
statemate,nrf52840dk,lua,fill,.bss,3,3146136,66764
statemate,nrf52840dk,micropython,Kernel,.text,31327,3274212,171096
statemate,nrf52840dk,micropython,Runtime,.text,102805,3274212,171096
statemate,nrf52840dk,micropython,fill,.text,183,3274212,171096
statemate,nrf52840dk,micropython,Application,.text,47395,3274212,171096
statemate,nrf52840dk,micropython,Kernel,.bss,2695,3274212,48328
statemate,nrf52840dk,micropython,Kernel,.data,157,3274212,
statemate,nrf52840dk,micropython,fill,.data,3,3274212,
statemate,nrf52840dk,micropython,Heap,.bss,45690,3274212,48328
statemate,nrf52840dk,micropython,fill,.bss,7,3274212,48328
statemate,nrf52840dk,micropython,Runtime,.bss,448,3274212,48328
statemate,nrf52840dk,micro-bpf,Kernel,.text,25244,1699076,107776
statemate,nrf52840dk,micro-bpf,fill,.text,85,1699076,107776
statemate,nrf52840dk,micro-bpf,Runtime,.text,65345,1699076,107776
statemate,nrf52840dk,micro-bpf,Unknown Symbols (unspecified),.text,20,1699076,107776
statemate,nrf52840dk,micro-bpf,Application,.text,21688,1699076,107776
statemate,nrf52840dk,micro-bpf,Kernel,.bss,5177,1699076,4668
statemate,nrf52840dk,micro-bpf,Kernel,.data,138,1699076,
statemate,nrf52840dk,micro-bpf,fill,.data,2,1699076,
statemate,nrf52840dk,micro-bpf,fill,.bss,3,1699076,4668
statemate,nrf52840dk,wamr,Kernel,.text,30244,2584657,88340
statemate,nrf52840dk,wamr,Unknown Symbols (app),.text,12,2584657,88340
statemate,nrf52840dk,wamr,Runtime,.text,65889,2584657,88340
statemate,nrf52840dk,wamr,fill,.text,87,2584657,88340
statemate,nrf52840dk,wamr,Application,.text,1327,2584657,88340
statemate,nrf52840dk,wamr,Kernel,.bss,3641,2584657,3192
statemate,nrf52840dk,wamr,Unknown Symbols (app),.data,16,2584657,
statemate,nrf52840dk,wamr,Kernel,.data,138,2584657,
statemate,nrf52840dk,wamr,Runtime,.data,920,2584657,
statemate,nrf52840dk,wamr,fill,.data,6,2584657,
statemate,nrf52840dk,wamr,fill,.bss,20,2584657,3192
statemate,nrf52840dk,wamr,Runtime,.bss,43,2584657,3192
statemate,nrf52840dk,wamr-fast,Kernel,.text,30244,2618943,90972
statemate,nrf52840dk,wamr-fast,Unknown Symbols (app),.text,12,2618943,90972
statemate,nrf52840dk,wamr-fast,Runtime,.text,68576,2618943,90972
statemate,nrf52840dk,wamr-fast,fill,.text,95,2618943,90972
statemate,nrf52840dk,wamr-fast,Application,.text,1327,2618943,90972
statemate,nrf52840dk,wamr-fast,Kernel,.bss,3570,2618943,3128
statemate,nrf52840dk,wamr-fast,Unknown Symbols (app),.data,16,2618943,
statemate,nrf52840dk,wamr-fast,Kernel,.data,138,2618943,
statemate,nrf52840dk,wamr-fast,Runtime,.data,1944,2618943,
statemate,nrf52840dk,wamr-fast,fill,.data,6,2618943,
statemate,nrf52840dk,wamr-fast,fill,.bss,19,2618943,3128
statemate,nrf52840dk,wamr-fast,Runtime,.bss,51,2618943,3128
tarfind,nrf52840dk,native,Kernel,.text,12970,1465754,12296
tarfind,nrf52840dk,native,Application,.text,200,1465754,12296
tarfind,nrf52840dk,native,fill,.text,15,1465754,12296
tarfind,nrf52840dk,native,Kernel,.bss,1716,1465754,10208
tarfind,nrf52840dk,native,Kernel,.data,138,1465754,
tarfind,nrf52840dk,native,fill,.data,2,1465754,
tarfind,nrf52840dk,native,Application,.bss,8999,1465754,10208
tarfind,nrf52840dk,native,fill,.bss,5,1465754,10208
tarfind,nrf52840dk,jerryscript,Kernel,.text,50953,5638615,294292
tarfind,nrf52840dk,jerryscript,Runtime,.text,263483,5638615,294292
tarfind,nrf52840dk,jerryscript,fill,.text,456,5638615,294292
tarfind,nrf52840dk,jerryscript,Application,.text,1854,5638615,294292
tarfind,nrf52840dk,jerryscript,Unknown Symbols (unspecified),.text,48,5638615,294292
tarfind,nrf52840dk,jerryscript,Kernel,.bss,2957,5638615,22080
tarfind,nrf52840dk,jerryscript,Kernel,.data,138,5638615,
tarfind,nrf52840dk,jerryscript,fill,.data,2,5638615,
tarfind,nrf52840dk,jerryscript,fill,.bss,10,5638615,22080
tarfind,nrf52840dk,jerryscript,Heap,.bss,17408,5638615,22080
tarfind,nrf52840dk,jerryscript,Runtime,.bss,2217,5638615,22080
tarfind,nrf52840dk,lua,Kernel,.text,74262,3094396,153880
tarfind,nrf52840dk,lua,Runtime,.text,90577,3094396,153880
tarfind,nrf52840dk,lua,fill,.text,192,3094396,153880
tarfind,nrf52840dk,lua,Application,.text,1905,3094396,153880
tarfind,nrf52840dk,lua,Kernel,.bss,3560,3094396,55156
tarfind,nrf52840dk,lua,Kernel,.data,602,3094396,
tarfind,nrf52840dk,lua,fill,.data,6,3094396,
tarfind,nrf52840dk,lua,Heap,.bss,52097,3094396,55156
tarfind,nrf52840dk,lua,fill,.bss,11,3094396,55156
tarfind,nrf52840dk,micropython,Kernel,.text,31327,3193791,125140
tarfind,nrf52840dk,micropython,Runtime,.text,102805,3193791,125140
tarfind,nrf52840dk,micropython,fill,.text,183,3193791,125140
tarfind,nrf52840dk,micropython,Application,.text,1439,3193791,125140
tarfind,nrf52840dk,micropython,Kernel,.bss,2836,3193791,13884
tarfind,nrf52840dk,micropython,Kernel,.data,157,3193791,
tarfind,nrf52840dk,micropython,fill,.data,3,3193791,
tarfind,nrf52840dk,micropython,Heap,.bss,11107,3193791,13884
tarfind,nrf52840dk,micropython,fill,.bss,5,3193791,13884
tarfind,nrf52840dk,micropython,Runtime,.bss,448,3193791,13884
tarfind,nrf52840dk,micro-bpf,Kernel,.text,25244,1678308,87008
tarfind,nrf52840dk,micro-bpf,fill,.text,85,1678308,87008
tarfind,nrf52840dk,micro-bpf,Runtime,.text,65345,1678308,87008
tarfind,nrf52840dk,micro-bpf,Unknown Symbols (unspecified),.text,20,1678308,87008
tarfind,nrf52840dk,micro-bpf,Application,.text,920,1678308,87008
tarfind,nrf52840dk,micro-bpf,Kernel,.bss,5177,1678308,4668
tarfind,nrf52840dk,micro-bpf,Kernel,.data,138,1678308,
tarfind,nrf52840dk,micro-bpf,fill,.data,2,1678308,
tarfind,nrf52840dk,micro-bpf,fill,.bss,3,1678308,4668
tarfind,nrf52840dk,wamr,Kernel,.text,30244,2583825,87508
tarfind,nrf52840dk,wamr,Unknown Symbols (app),.text,12,2583825,87508
tarfind,nrf52840dk,wamr,Runtime,.text,65889,2583825,87508
tarfind,nrf52840dk,wamr,fill,.text,81,2583825,87508
tarfind,nrf52840dk,wamr,Application,.text,501,2583825,87508
tarfind,nrf52840dk,wamr,Kernel,.bss,3641,2583825,3192
tarfind,nrf52840dk,wamr,Unknown Symbols (app),.data,16,2583825,
tarfind,nrf52840dk,wamr,Kernel,.data,138,2583825,
tarfind,nrf52840dk,wamr,Runtime,.data,920,2583825,
tarfind,nrf52840dk,wamr,fill,.data,6,2583825,
tarfind,nrf52840dk,wamr,fill,.bss,20,2583825,3192
tarfind,nrf52840dk,wamr,Runtime,.bss,43,2583825,3192
tarfind,nrf52840dk,wamr-fast,Kernel,.text,30244,2618111,90140
tarfind,nrf52840dk,wamr-fast,Unknown Symbols (app),.text,12,2618111,90140
tarfind,nrf52840dk,wamr-fast,Runtime,.text,68576,2618111,90140
tarfind,nrf52840dk,wamr-fast,fill,.text,89,2618111,90140
tarfind,nrf52840dk,wamr-fast,Application,.text,501,2618111,90140
tarfind,nrf52840dk,wamr-fast,Kernel,.bss,3570,2618111,3128
tarfind,nrf52840dk,wamr-fast,Unknown Symbols (app),.data,16,2618111,
tarfind,nrf52840dk,wamr-fast,Kernel,.data,138,2618111,
tarfind,nrf52840dk,wamr-fast,Runtime,.data,1944,2618111,
tarfind,nrf52840dk,wamr-fast,fill,.data,6,2618111,
tarfind,nrf52840dk,wamr-fast,fill,.bss,19,2618111,3128
tarfind,nrf52840dk,wamr-fast,Runtime,.bss,51,2618111,3128
ud,nrf52840dk,native,Kernel,.text,12970,1459012,12616
ud,nrf52840dk,native,Application,.text,472,1459012,12616
ud,nrf52840dk,native,fill,.text,15,1459012,12616
ud,nrf52840dk,native,Kernel,.bss,1716,1459012,2972
ud,nrf52840dk,native,Kernel,.data,138,1459012,
ud,nrf52840dk,native,fill,.data,2,1459012,
ud,nrf52840dk,native,Application,.bss,1764,1459012,2972
ud,nrf52840dk,native,fill,.bss,4,1459012,2972
ud,nrf52840dk,jerryscript,Kernel,.text,43336,3741620,171956
ud,nrf52840dk,jerryscript,Runtime,.text,135270,3741620,171956
ud,nrf52840dk,jerryscript,fill,.text,245,3741620,171956
ud,nrf52840dk,jerryscript,Application,.text,2006,3741620,171956
ud,nrf52840dk,jerryscript,Kernel,.bss,2957,3741620,10764
ud,nrf52840dk,jerryscript,Kernel,.data,138,3741620,
ud,nrf52840dk,jerryscript,fill,.data,2,3741620,
ud,nrf52840dk,jerryscript,fill,.bss,7,3741620,10764
ud,nrf52840dk,jerryscript,Heap,.bss,6144,3741620,10764
ud,nrf52840dk,jerryscript,Runtime,.bss,2168,3741620,10764
ud,nrf52840dk,lua,Kernel,.text,74262,3068628,154376
ud,nrf52840dk,lua,Runtime,.text,90577,3068628,154376
ud,nrf52840dk,lua,fill,.text,190,3068628,154376
ud,nrf52840dk,lua,Application,.text,2403,3068628,154376
ud,nrf52840dk,lua,Kernel,.bss,3771,3068628,28892
ud,nrf52840dk,lua,Kernel,.data,602,3068628,
ud,nrf52840dk,lua,fill,.data,6,3068628,
ud,nrf52840dk,lua,Heap,.bss,25626,3068628,28892
ud,nrf52840dk,lua,fill,.bss,7,3068628,28892
ud,nrf52840dk,micropython,Kernel,.text,31327,3190018,125364
ud,nrf52840dk,micropython,Runtime,.text,102805,3190018,125364
ud,nrf52840dk,micropython,fill,.text,183,3190018,125364
ud,nrf52840dk,micropython,Application,.text,1663,3190018,125364
ud,nrf52840dk,micropython,Kernel,.bss,2272,3190018,9888
ud,nrf52840dk,micropython,Kernel,.data,157,3190018,
ud,nrf52840dk,micropython,fill,.data,3,3190018,
ud,nrf52840dk,micropython,Heap,.bss,7674,3190018,9888
ud,nrf52840dk,micropython,fill,.bss,6,3190018,9888
ud,nrf52840dk,micropython,Runtime,.bss,448,3190018,9888
ud,nrf52840dk,micro-bpf,Kernel,.text,25244,1679484,88184
ud,nrf52840dk,micro-bpf,fill,.text,85,1679484,88184
ud,nrf52840dk,micro-bpf,Runtime,.text,65345,1679484,88184
ud,nrf52840dk,micro-bpf,Unknown Symbols (unspecified),.text,20,1679484,88184
ud,nrf52840dk,micro-bpf,Application,.text,2096,1679484,88184
ud,nrf52840dk,micro-bpf,Kernel,.bss,5177,1679484,4668
ud,nrf52840dk,micro-bpf,Kernel,.data,138,1679484,
ud,nrf52840dk,micro-bpf,fill,.data,2,1679484,
ud,nrf52840dk,micro-bpf,fill,.bss,3,1679484,4668
ud,nrf52840dk,wamr,Kernel,.text,30244,2584001,88036
ud,nrf52840dk,wamr,Unknown Symbols (app),.text,12,2584001,88036
ud,nrf52840dk,wamr,Runtime,.text,65889,2584001,88036
ud,nrf52840dk,wamr,fill,.text,82,2584001,88036
ud,nrf52840dk,wamr,Application,.text,1028,2584001,88036
ud,nrf52840dk,wamr,Kernel,.bss,3289,2584001,2840
ud,nrf52840dk,wamr,Unknown Symbols (app),.data,16,2584001,
ud,nrf52840dk,wamr,Kernel,.data,138,2584001,
ud,nrf52840dk,wamr,Runtime,.data,920,2584001,
ud,nrf52840dk,wamr,fill,.data,6,2584001,
ud,nrf52840dk,wamr,fill,.bss,20,2584001,2840
ud,nrf52840dk,wamr,Runtime,.bss,43,2584001,2840
ud,nrf52840dk,wamr-fast,Kernel,.text,30244,2618359,90668
ud,nrf52840dk,wamr-fast,Unknown Symbols (app),.text,12,2618359,90668
ud,nrf52840dk,wamr-fast,Runtime,.text,68576,2618359,90668
ud,nrf52840dk,wamr-fast,fill,.text,90,2618359,90668
ud,nrf52840dk,wamr-fast,Application,.text,1028,2618359,90668
ud,nrf52840dk,wamr-fast,Kernel,.bss,3289,2618359,2848
ud,nrf52840dk,wamr-fast,Unknown Symbols (app),.data,16,2618359,
ud,nrf52840dk,wamr-fast,Kernel,.data,138,2618359,
ud,nrf52840dk,wamr-fast,Runtime,.data,1944,2618359,
ud,nrf52840dk,wamr-fast,fill,.data,6,2618359,
ud,nrf52840dk,wamr-fast,fill,.bss,20,2618359,2848
ud,nrf52840dk,wamr-fast,Runtime,.bss,51,2618359,2848
xgboost,nrf52840dk,native,Kernel,.text,12970,1465821,20144
xgboost,nrf52840dk,native,Application,.text,8029,1465821,20144
xgboost,nrf52840dk,native,fill,.text,18,1465821,20144
xgboost,nrf52840dk,native,Kernel,.bss,1716,1465821,1208
xgboost,nrf52840dk,native,Kernel,.data,138,1465821,
xgboost,nrf52840dk,native,fill,.data,2,1465821,
xgboost,nrf52840dk,native,fill,.bss,4,1465821,1208
xgboost,nrf52840dk,jerryscript,Kernel,.text,20557,3022760,131324
xgboost,nrf52840dk,jerryscript,Runtime,.text,90675,3022760,131324
xgboost,nrf52840dk,jerryscript,fill,.text,142,3022760,131324
xgboost,nrf52840dk,jerryscript,Application,.text,26261,3022760,131324
xgboost,nrf52840dk,jerryscript,Kernel,.bss,3097,3022760,58996
xgboost,nrf52840dk,jerryscript,Kernel,.data,138,3022760,
xgboost,nrf52840dk,jerryscript,fill,.data,2,3022760,
xgboost,nrf52840dk,jerryscript,fill,.bss,3,3022760,58996
xgboost,nrf52840dk,jerryscript,Heap,.bss,54272,3022760,58996
xgboost,nrf52840dk,jerryscript,Runtime,.bss,2136,3022760,58996
xgboost,nrf52840dk,lua,Kernel,.text,74262,3224662,176544
xgboost,nrf52840dk,lua,Runtime,.text,90573,3224662,176544
xgboost,nrf52840dk,lua,fill,.text,191,3224662,176544
xgboost,nrf52840dk,lua,Application,.text,24574,3224662,176544
xgboost,nrf52840dk,lua,Kernel,.bss,3630,3224662,163196
xgboost,nrf52840dk,lua,Kernel,.data,602,3224662,
xgboost,nrf52840dk,lua,fill,.data,6,3224662,
xgboost,nrf52840dk,lua,Heap,.bss,160072,3224662,163196
xgboost,nrf52840dk,lua,fill,.bss,6,3224662,163196
xgboost,nrf52840dk,micropython,Kernel,.text,31327,3271098,147908
xgboost,nrf52840dk,micropython,Runtime,.text,102805,3271098,147908
xgboost,nrf52840dk,micropython,fill,.text,184,3271098,147908
xgboost,nrf52840dk,micropython,Application,.text,24206,3271098,147908
xgboost,nrf52840dk,micropython,Kernel,.bss,2272,3271098,68388
xgboost,nrf52840dk,micropython,Kernel,.data,157,3271098,
xgboost,nrf52840dk,micropython,fill,.data,3,3271098,
xgboost,nrf52840dk,micropython,Heap,.bss,66176,3271098,68388
xgboost,nrf52840dk,micropython,fill,.bss,4,3271098,68388
xgboost,nrf52840dk,micropython,Runtime,.bss,448,3271098,68388
xgboost,nrf52840dk,micro-bpf,Kernel,.text,25244,1686284,94984
xgboost,nrf52840dk,micro-bpf,fill,.text,85,1686284,94984
xgboost,nrf52840dk,micro-bpf,Runtime,.text,65345,1686284,94984
xgboost,nrf52840dk,micro-bpf,Unknown Symbols (unspecified),.text,20,1686284,94984
xgboost,nrf52840dk,micro-bpf,Application,.text,8896,1686284,94984
xgboost,nrf52840dk,micro-bpf,Kernel,.bss,5177,1686284,4668
xgboost,nrf52840dk,micro-bpf,Kernel,.data,138,1686284,
xgboost,nrf52840dk,micro-bpf,fill,.data,2,1686284,
xgboost,nrf52840dk,micro-bpf,fill,.bss,3,1686284,4668
xgboost,nrf52840dk,wamr,Kernel,.text,30244,2591414,95428
xgboost,nrf52840dk,wamr,Unknown Symbols (app),.text,12,2591414,95428
xgboost,nrf52840dk,wamr,Runtime,.text,65889,2591414,95428
xgboost,nrf52840dk,wamr,fill,.text,84,2591414,95428
xgboost,nrf52840dk,wamr,Application,.text,8418,2591414,95428
xgboost,nrf52840dk,wamr,Kernel,.bss,3289,2591414,2840
xgboost,nrf52840dk,wamr,Unknown Symbols (app),.data,16,2591414,
xgboost,nrf52840dk,wamr,Kernel,.data,138,2591414,
xgboost,nrf52840dk,wamr,Runtime,.data,920,2591414,
xgboost,nrf52840dk,wamr,fill,.data,6,2591414,
xgboost,nrf52840dk,wamr,fill,.bss,20,2591414,2840
xgboost,nrf52840dk,wamr,Runtime,.bss,43,2591414,2840
xgboost,nrf52840dk,wamr-fast,Kernel,.text,30244,2625772,98060
xgboost,nrf52840dk,wamr-fast,Unknown Symbols (app),.text,12,2625772,98060
xgboost,nrf52840dk,wamr-fast,Runtime,.text,68576,2625772,98060
xgboost,nrf52840dk,wamr-fast,fill,.text,92,2625772,98060
xgboost,nrf52840dk,wamr-fast,Application,.text,8418,2625772,98060
xgboost,nrf52840dk,wamr-fast,Kernel,.bss,3289,2625772,2848
xgboost,nrf52840dk,wamr-fast,Unknown Symbols (app),.data,16,2625772,
xgboost,nrf52840dk,wamr-fast,Kernel,.data,138,2625772,
xgboost,nrf52840dk,wamr-fast,Runtime,.data,1944,2625772,
xgboost,nrf52840dk,wamr-fast,fill,.data,6,2625772,
xgboost,nrf52840dk,wamr-fast,fill,.bss,20,2625772,2848
xgboost,nrf52840dk,wamr-fast,Runtime,.bss,51,2625772,2848
